Datetime,Date,Dummy,Hour,Day-ahead Price [GBP/MWh],Demand Forecast [MWh],Wind Forecast [MW],Solar Forecast [MW],Last Closing Gas Price [GBpence/therm]
2023-08-20 08:00:00+00:00,20/08/2023,7,8,74.21,18339.0,7897.5,1329.457395,143.38
2023-08-20 09:00:00+00:00,20/08/2023,7,9,76.225,19387.0,7933.0,1923.386418,143.38
2023-08-20 10:00:00+00:00,20/08/2023,7,10,75.94,19989.0,7686.0,2402.568672,143.38
2023-08-20 11:00:00+00:00,20/08/2023,7,11,64.18,20340.0,7313.5,2466.70586,143.38
2023-08-20 12:00:00+00:00,20/08/2023,7,12,48.71,20122.5,7170.0,2521.87078,143.38
2023-08-20 13:00:00+00:00,20/08/2023,7,13,46.905,19921.0,7144.0,2536.986499,143.38
2023-08-20 14:00:00+00:00,20/08/2023,7,14,67.87,19607.5,7156.0,2047.53913,143.38
2023-08-20 15:00:00+00:00,20/08/2023,7,15,85.48,19895.0,7281.5,1485.009934,143.38
2023-08-20 16:00:00+00:00,20/08/2023,7,16,95.695,20885.0,7047.0,1335.761425,143.38
2023-08-20 17:00:00+00:00,20/08/2023,7,17,108.32,22059.5,7026.5,628.12965,143.38
2023-08-20 18:00:00+00:00,20/08/2023,7,18,112.31,23929.0,7111.0,197.4739918,143.38
2023-08-20 19:00:00+00:00,20/08/2023,7,19,109.875,24475.0,7566.5,18.74095293,143.38
2023-08-20 20:00:00+00:00,20/08/2023,7,20,101.84,25016.0,8117.0,0.0,143.38
2023-08-20 21:00:00+00:00,20/08/2023,7,21,94.525,25219.5,8636.0,0.0,143.38
2023-08-20 22:00:00+00:00,20/08/2023,7,22,88.02,23626.0,8790.5,0.0,143.38
2023-08-20 23:00:00+00:00,20/08/2023,7,23,82.53,22136.0,8051.0,0.0,143.38
2023-08-21 00:00:00+00:00,20/08/2023,7,24,78.505,19740.5,7154.0,0.0,143.38
2023-08-21 01:00:00+00:00,21/08/2023,1,1,75.175,18711.0,7099.0,0.0,143.38
2023-08-21 02:00:00+00:00,21/08/2023,1,2,75.405,17972.5,7137.5,0.0,143.38
2023-08-21 03:00:00+00:00,21/08/2023,1,3,81.11,17448.0,7287.0,0.0,143.38
2023-08-21 04:00:00+00:00,21/08/2023,1,4,92.265,16967.5,7435.5,0.0,143.38
2023-08-21 05:00:00+00:00,21/08/2023,1,5,104.575,16698.5,7663.5,11.75073893,143.38
2023-08-21 06:00:00+00:00,21/08/2023,1,6,106.655,17708.5,7940.0,112.9132011,143.38
2023-08-21 07:00:00+00:00,21/08/2023,1,7,98.045,20097.5,8248.0,544.456338,143.38
2023-08-21 08:00:00+00:00,21/08/2023,1,8,87.06,22641.0,8713.0,1216.380291,143.38
2023-08-21 09:00:00+00:00,21/08/2023,1,9,79.885,24481.0,9289.0,1701.15695,143.38
2023-08-21 10:00:00+00:00,21/08/2023,1,10,76.38,24289.0,9729.5,2270.985475,143.38
