Feature,H1 - Coefficient - 1,H2 - Coefficient - 1,H3 - Coefficient - 1,H4 - Coefficient - 1,H5 - Coefficient - 1,H6 - Coefficient - 1,H7 - Coefficient - 1,H8 - Coefficient - 1,H9 - Coefficient - 1,H10 - Coefficient - 1,H11 - Coefficient - 1,H12 - Coefficient - 1,H13 - Coefficient - 1,H14 - Coefficient - 1,H15 - Coefficient - 1,H16 - Coefficient - 1,H17 - Coefficient - 1,H18 - Coefficient - 1,H19 - Coefficient - 1,H20 - Coefficient - 1,H21 - Coefficient - 1,H22 - Coefficient - 1,H23 - Coefficient - 1,H24 - Coefficient - 1
Day-ahead Price [GBP/MWh]_standardized d-2 h=20,0.0,-0.0,-0.0,-0.025231497074039377,-0.0,-0.0,-0.021272158083466816,-0.032607986360814425,-0.03313222385075728,-0.050588231745736165,-0.14616335115338774,-0.19962738121516146,-0.11500458344282256,-0.14065552961101366,-0.21723689971873353,-0.5146228949298144,-0.3697322473885106,-0.1001767944138304,-0.06170098844297652,-0.0,-0.0,0.0,0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=21,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.10672193804211161,0.20049733890009544,0.15467153535655198,0.15758041112047655,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.17760916346267971,-0.26516865082856395,-0.10332809855289568,-0.05562995113412112
Day-ahead Price [GBP/MWh]_standardized d-2 h=22,-0.0,0.0,0.004031058630694418,0.0,-0.04184252526172201,-0.11502444278185747,-0.0662210943090197,-0.0,-0.0,0.0,0.0,0.0,0.03382936404499435,0.0,0.028026675626988486,-0.0,-0.0,0.031983719342200165,0.10146862095289169,0.1497313663539785,0.09802688024410501,0.0,-0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=23,-0.006702934656770338,-0.0,0.07891090728718722,0.1766117235548199,0.0,0.0,0.1607016806968571,0.01995165878774573,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.058632873777853575,0.14516426918815092,0.03118430328514192,0.07466106164013482
Day-ahead Price [GBP/MWh]_standardized d-2 h=24,-0.0,-0.0,-0.0,0.0,0.20421560018792131,0.23618195469276074,0.0,-0.0,-0.0,-0.15573136496731568,-0.22578228158105643,-0.2577435762320447,-0.2187118117049655,-0.11907134180054658,0.0,0.14575681416509484,0.00642959329851035,-0.08543972884158006,-0.3750733603615169,-0.3117492663403452,-0.0,-0.024414420198136402,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=1,-0.0037321572629086365,-0.029264446781333813,-0.0649730798235994,-0.03268861003655805,0.054462484926942265,0.09571774052090945,0.26859620584869515,0.3774276428864557,0.41918279567017885,0.25273774419550415,0.13107940772602936,0.09168205203488955,0.0,0.0,0.08485902887813053,0.4416810706445278,0.37578868493077355,0.10961569814888628,0.0,0.02032980960021605,0.20426859850501933,0.32093115119762666,0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.23123196169719779,-0.32875790513163994,-0.3759398346547713,-0.16093971217621247,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04458847980222563,-0.0,-0.19628258546782534,-0.3113397438055402,-0.052483295176884256,-0.11274788700472581
Day-ahead Price [GBP/MWh]_standardized d-3 h=3,-0.0,-0.0,-0.0,-0.06001378761208726,-0.17270692218048586,-0.09714355579612906,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.013063307484651765,-0.20991186765121345,-0.1913903035663626,-0.770712089947535,-0.6313088944932513,-0.29157968958813013,-0.0,-0.12788409376443663,-0.18841036997858499,-0.167024182519316,-0.0680570294011057,-0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=4,0.0,0.0,0.0,0.02462965425330994,0.2866382288799518,0.16970487891888492,0.05182191000184994,0.03489435721396933,0.0,0.0,0.0,0.05779127513865381,0.18734638475293602,0.3943995577266758,0.1380923276758771,0.4322603484762096,0.3735810859273471,0.2718627387204914,0.0,-0.0,0.0,-0.0,-0.025053679441519285,-0.11354254064388114
Day-ahead Price [GBP/MWh]_standardized d-3 h=5,0.0,0.030345386189621373,0.09480306780858422,0.22899454687283818,0.05418714925917148,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.4666092409066818,0.6773281359793026,0.5451995430051819,0.0,-0.05918298359464398,-0.040650713302760225,0.19129743383939174,0.2239181116705932,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-3 h=6,-0.0,-0.0,-0.01261345745167714,-0.19651220968448296,-0.27384151299441184,-0.23709037493105578,-0.16007072889110383,-0.2007054177580411,-0.19212553140738511,-0.20169161114881645,-0.25450045497992535,-0.3046800171337626,-0.39504062181804156,-0.5288908873173642,-1.0581199502982401,-1.5509302628490331,-1.290303816650132,-0.3938003894717991,-0.10671562487794166,-0.0,0.0,0.06211000911434655,0.3242188225845968,0.28453090441424206
Day-ahead Price [GBP/MWh]_standardized d-3 h=7,-0.009029355827543807,-0.0014032942717250392,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.02605965988192731,-0.12971700597104216,-0.2977537164227435,-0.15837160236498454
Day-ahead Price [GBP/MWh]_standardized d-3 h=8,-0.0,-0.0,0.0,0.12823500586847317,0.4233641894460035,0.4833723700593493,0.3734452210476068,0.34575485755993224,0.3403308763917885,0.36078590217839607,0.4253458712526448,0.4341883992016684,0.8082825526966316,1.26158843415604,1.800985667351354,2.5395429260374076,2.2103092909622504,0.8717826965017371,0.2243791078040261,0.2529036745104951,0.0,-0.057275337763050015,-0.09294516779296927,-0.1250017758228205
Day-ahead Price [GBP/MWh]_standardized d-3 h=9,-0.0,-0.0,0.03745481526821299,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7536367125724883,-1.1773861117545674,-1.684591640684744,-2.857777575058045,-2.2997777407270243,-0.7550495685088635,-0.0,-0.0,-0.0,-0.0,0.0,0.0
