Ytrue,Yp
166.085,161.56036
161.81,156.2972
153.3,52.27869
139.255,49.31836
131.695,47.73334
127.73,58.04759
132.75,80.79612
134.245,101.90883
137.155,111.69698
148.54,128.75075
151.23,142.57497
145.085,145.55249
137.19,142.87039
130.035,144.41145
123.84,145.55159
120.325,140.57417
128.195,156.87627
151.325,177.77037
163.11,179.31877
151.32,145.9602
131.315,135.67897
115.52,120.97629
96.87,96.12757
86.025,81.20556
83.56,71.90204
75.65,69.47076
64.32,82.781
50.72,70.18293
46.505,76.32837
72.745,86.1924
116.465,111.24693
136.615,127.40629
143.595,151.70396
145.24,164.34499
141.865,164.83798
141.455,163.0023
135.78,161.04692
135.055,159.60014
140.555,163.37582
143.53,156.35252
152.85,168.18869
175.69,180.08043
189.775,180.43764
178.22,170.99232
154.705,157.03839
141.89,142.03708
132.205,123.73883
129.53,101.81682
131.53,100.26522
123.61,91.94989
109.035,66.16581
91.145,63.08151
84.69,64.89747
94.705,74.216965
120.81,100.25999
144.175,118.80581
154.69,134.05164
154.15,151.49298
146.32,160.41919
137.765,155.55516
129.675,150.05951
124.425,159.27917
124.24,158.56302
125.255,157.68962
134.085,171.41896
155.25,185.87971
167.1,183.95448
158.25,164.88695
142.175,149.32506
137.245,133.44174
127.045,112.65674
108.26,91.618164
99.79,78.91128
97.36,76.19725
84.365,58.50642
67.08,51.06714
64.895,52.151817
79.035,59.134148
110.965,89.479004
139.795,115.790764
151.93,130.98573
153.23,147.81187
144.925,147.72687
131.96,149.88852
120.605,141.47626
117.865,143.73836
121.24,150.7027
124.89,146.53833
135.33,160.84894
154.76,175.14249
165.7,171.55733
161.43,162.90822
150.26,149.19624
140.005,127.88048
131.645,103.04553
121.555,84.179
115.385,69.629425
113.555,70.41667
103.57,45.397507
92.915,39.947
96.515,38.770615
108.685,47.68252
128.795,74.783646
146.93,96.377426
153.655,117.616425
150.795,137.99408
143.685,143.80867
136.215,140.60445
129.72,136.93158
126.79,139.7641
126.43,141.57181
130.655,133.33798
141.72,139.34926
155.935,161.70755
160.075,164.78323
152.09,154.7521
141.805,134.51924
133.225,116.080345
120.95,95.62389
105.745,74.57847
95.285,64.47741
87.85,60.18062
81.565,58.91189
76.915,51.560825
77.23,47.178596
90.27,62.1643
119.45,92.33741
145.96,129.23845
158.31,139.76082
161.705,164.89044
155.01,159.1262
141.58,154.80154
131.44,151.87018
128.105,148.33598
127.775,150.55537
130.01,148.87521
139.895,161.2556
158.63,186.23524
168.69,176.65746
161.2,176.5189
148.405,156.77974
141.875,134.30661
137.9,123.79488
138.105,96.27001
138.18,79.28377
136.38,77.43875
131.815,111.17844
124.79,97.4495
125.49,94.322014
129.13,98.622894
136.04,110.926315
140.29,104.704346
143.99,120.470985
148.79,144.17271
146.105,157.4152
139.03,169.5784
132.23,145.70789
129.775,146.63588
129.885,146.24486
135.27,141.881
145.915,147.36612
159.01,181.27809
163.85,169.2313
154.07,163.22603
143.305,145.32092
136.44,131.96306
129.68,111.23103
134.8,87.439964
143.24,73.33864
138.37,65.16001
128.365,79.587975
117.175,70.14328
110.965,70.15692
110.845,73.746735
116.095,105.469284
121.54,128.89453
134.32,134.15799
141.465,147.10835
138.39,165.84795
139.11,167.12779
142.075,162.47086
145.54,160.50868
142.845,171.02873
131.43,169.2287
135.14,174.28075
171.225,207.46661
192.24,218.82715
184.19,196.87221
160.905,181.66035
140.795,174.15584
134.11,165.37666
133.055,134.2271
136.825,125.33849
136.28,122.93646
132.86,120.66177
130.395,106.07623
131.46,106.49352
142.475,125.913216
164.685,143.15536
182.69,168.57434
188.225,181.18546
181.225,187.97427
165.185,195.15422
151.445,184.47992
144.135,175.87497
142.83,179.34784
146.155,173.0337
153.285,168.73375
171.975,187.3699
195.695,208.45355
201.91,189.00879
190.15,193.35995
169.095,170.11116
149.215,165.40932
135.12,147.31789
130.425,128.54567
132.125,123.33163
131.02,115.734
130.135,128.32835
129.71,123.44827
130.74,120.24703
140.93,129.19058
162.96,152.95236
189.635,176.9537
200.355,183.32487
201.335,185.2993
199.44,179.47845
184.235,172.16527
168.935,168.59644
162.435,171.6218
166.585,167.93083
179.505,173.25534
199.045,188.5082
222.565,218.02792
231.76,223.15771
215.105,208.13434
186.395,181.67093
165.995,173.67403
150.915,165.56866
140.925,142.30072
140.41,136.13654
138.335,130.1366
133.23,112.63764
129.125,100.16217
128.95,102.58536
136.02,110.638306
154.43,130.78647
174.96,147.23112
178.35,161.09839
164.045,166.9074
149.44,168.41228
138.01,161.36844
130.665,150.07068
127.875,137.5902
128.07,142.89601
134.2,144.65466
148.69,152.0482
165.135,168.46675
170.345,169.0916
164.005,162.9114
153.27,145.71219
146.315,132.0011
139.58,115.07976
134.3,90.57122
134.405,76.95211
131.32,77.06131
126.535,100.31428
122.38,91.06662
122.655,90.506485
136.39,95.3776
153.975,111.57016
172.05,126.284
176.67,140.70229
161.49,148.98988
146.12,155.87836
132.94,154.61488
123.795,148.42209
120.96,148.26782
124.43,152.09688
131.155,150.9981
144.86,168.75258
166.825,190.30344
181.825,193.27788
176.395,179.18231
161.16,159.76978
150.59,148.68347
142.635,141.83186
140.16,124.93755
140.69,118.40858
134.955,111.82952
126.895,116.99903
122.14,106.68447
121.77,105.27853
127.37,107.75609
142.355,122.26162
168.05,134.23882
181.165,150.30092
167.8,159.89265
147.615,157.74716
131.28,147.50131
121.685,142.1881
118.78,132.89835
119.105,133.93964
124.44,132.74532
136.43,150.33328
154.695,166.57979
167.09,165.0283
159.78,154.07393
147.46,138.71815
141.5,125.3538
135.82,106.50487
131.79,90.51013
130.015,83.08266
127.99,81.078896
123.63,88.42253
119.43,77.12116
119.39,69.80235
123.21,73.98218
131.475,84.840836
135.28,86.533844
137.33,97.24613
142.38,126.08003
141.465,141.47827
140.795,145.64998
142.165,143.76804
140.09,150.63289
138.135,147.37903
137.58,147.87791
141.965,167.48271
