Ytrue,Yp
182.635,239.99118
178.11,232.99794
171.71,236.08745
167.675,230.95041
166.92,237.18767
168.425,247.09988
175.625,263.53568
187.305,295.86703
189.335,289.76846
179.555,262.9093
164.905,232.66258
151.28,205.21635
139.955,176.61232
134.05,161.9886
131.915,158.13733
126.115,154.07207
121.115,117.40066
118.39,104.371666
116.645,106.81819
116.31,116.62604
122.42,138.89055
129.58,154.7576
139.01,177.96939
150.455,173.94081
152.955,174.7977
148.245,166.19673
141.3,162.88756
136.535,163.50615
135.77,165.36888
139.75,173.5826
152.185,186.20256
171.075,225.08763
178.175,206.8276
165.32,191.19635
147.585,172.98755
137.77,153.25441
133.835,142.4775
151.485,131.17558
166.085,131.09239
161.81,122.13152
153.3,86.610794
139.255,81.52014
131.695,77.9929
127.73,79.95085
132.75,85.2516
134.245,97.19605
137.155,101.08839
148.54,104.792435
151.23,104.4762
145.085,103.55438
137.19,106.27931
130.035,109.65285
123.84,109.87031
120.325,111.12353
128.195,122.80604
151.325,151.97707
163.11,138.06467
151.32,125.659256
131.315,116.38324
115.52,109.26138
96.87,99.82985
86.025,92.352165
83.56,89.24842
75.65,85.87889
64.32,48.963146
50.72,42.05289
46.505,45.657063
72.745,58.741287
116.465,99.60685
136.615,119.931595
143.595,135.8467
145.24,148.65793
141.865,148.7909
141.455,146.22307
135.78,141.45929
135.055,146.72711
140.555,148.95386
143.53,160.4401
152.85,168.57263
175.69,184.75974
189.775,191.64992
178.22,168.91629
154.705,148.58124
141.89,131.09552
132.205,106.386444
129.53,90.72222
131.53,78.595375
123.61,77.411255
109.035,84.646416
91.145,77.94928
84.69,73.55061
94.705,78.96736
120.81,101.166824
144.175,111.37528
154.69,125.88593
154.15,126.543076
146.32,135.40117
137.765,132.50128
129.675,129.27763
124.425,132.1924
124.24,134.78052
125.255,134.08742
134.085,155.84683
155.25,170.92729
167.1,167.4321
158.25,154.60478
142.175,133.25116
137.245,130.774
127.045,114.70913
108.26,101.22923
99.79,98.43304
97.36,94.02292
84.365,71.28688
67.08,64.94634
64.895,63.935005
79.035,75.783806
110.965,91.75101
139.795,108.44582
151.93,115.5921
153.23,120.874405
144.925,124.10323
131.96,124.625984
120.605,122.03582
117.865,125.55159
121.24,128.70126
124.89,130.81258
135.33,143.25574
154.76,159.37888
165.7,158.82944
161.43,148.9897
150.26,136.14532
140.005,120.95444
131.645,104.35305
121.555,94.66971
115.385,90.829735
113.555,85.68808
103.57,80.61895
92.915,74.26325
96.515,71.865585
108.685,79.839836
128.795,97.84131
146.93,113.02862
153.655,124.13996
150.795,131.04008
143.685,135.0985
136.215,132.16043
129.72,126.90612
126.79,133.03226
126.43,133.37527
130.655,134.23158
141.72,149.38293
155.935,176.79678
160.075,161.43152
152.09,155.3966
141.805,137.17618
133.225,124.8258
120.95,111.09794
105.745,98.98078
95.285,98.56243
87.85,93.40176
81.565,73.4304
76.915,64.122856
77.23,65.46977
90.27,76.3484
119.45,96.08577
145.96,114.776596
158.31,128.68034
161.705,133.26775
155.01,127.10776
141.58,127.5646
131.44,128.91295
128.105,128.53983
127.775,128.73276
130.01,130.18666
139.895,137.75002
158.63,170.18883
168.69,167.608
161.2,144.7484
148.405,133.66975
141.875,128.30392
137.9,111.246445
